field_1,field_2,field_3,field_4,field_5
TK_E1_SAMP_1,165838.438,341408.638,403.123,CORRAL
TK_E1_SAMP_2,165837.82,341410.223,403.115,CORRAL
TK_E1_SAMP_3,165837.499,341411.878,403.119,CORRAL
TK_E1_SAMP_4,165836.016,341409.814,403.133,CORRAL
TK_E1_SAMP_5,165834.865,341407.83,403.17,CORRAL
TK_E1_SAMP_6,165834.243,341410.959,403.131,CORRAL
TK_E1_SAMP_7,165833.42,341409.344,403.139,CORRAL
TK_E1_SAMP_8,165840.521,341409.505,403.095,CORRAL
TK_E1_SAMP_9,165839.269,341407.279,403.189,CORRAL
TK_E1_SAMP_10,165836.64,341405.661,403.31,CORRAL
TK_E1_SAMP_11,165832.825,341406.684,403.246,CORRAL
TK_E1_SAMP_12,165829.347,341406.968,403.081,CORRAL
TK_E1_SAMP_13,165829.132,341409.305,402.987,CORRAL
TK_E1_SAMP_14,165831.058,341412.065,403.006,CORRAL
TK_E1_SAMP_15,165833.093,341413.724,402.95,CORRAL
TK_E1_SAMP_16,165836.829,341414.386,402.964,CORRAL
TK_E1_SAMP_17,165839.958,341413.373,403.008,CORRAL
TK_E1_SAMP_18,165841.287,341407.072,403.172,CORRAL
TK_E1_SAMP_19,165838.754,341404.694,403.347,CORRAL
TK_E1_SAMP_20,165833.971,341404.2,403.462,CORRAL
TK_E1_SAMP_21,165829.525,341404.333,403.314,CORRAL
TK_E1_SAMP_22,165826.612,341408.137,402.998,CORRAL
TK_E1_SAMP_23,165831.047,341414.334,402.939,CORRAL
TK_E1_SAMP_24,165836.026,341416.739,402.981,CORRAL
TK_E1_SAMP_25,165839.639,341415.889,402.997,CORRAL
TK_E1_SAMP_26,165842.581,341411.653,403.028,CORRAL
TK_E1_SAMP_27,165863.894,341258.88,402.749,DOMESTIC
TK_E1_SAMP_28,165863.797,341257.03,402.808,DOMESTIC
TK_E1_SAMP_29,165863.745,341254.937,402.855,DOMESTIC
TK_E1_SAMP_30,165863.848,341252.888,402.88,DOMESTIC
TK_E1_SAMP_31,165864.028,341250.734,403.024,DOMESTIC
TK_E1_SAMP_32,165863.581,341248.944,402.989,DOMESTIC
TK_E1_SAMP_33,165863.389,341246.859,403.028,DOMESTIC
TK_E1_SAMP_34,165863.278,341244.988,403.19,DOMESTIC
TK_E1_SAMP_35,165863.44,341242.962,403.177,DOMESTIC
TK_E1_SAMP_36,165861.485,341240.328,402.93,DOMESTIC
TK_E1_SAMP_37,165863.469,341238.883,402.848,DOMESTIC
TK_E1_SAMP_38,165861.942,341258.81,402.767,DOMESTIC
TK_E1_SAMP_39,165861.81,341256.967,402.852,DOMESTIC
TK_E1_SAMP_40,165861.923,341254.787,402.857,DOMESTIC
TK_E1_SAMP_41,165861.776,341252.65,402.904,DOMESTIC
TK_E1_SAMP_42,165861.672,341250.848,402.928,DOMESTIC
TK_E1_SAMP_43,165861.561,341248.575,403.024,DOMESTIC
TK_E1_SAMP_44,165861.169,341246.299,403.098,DOMESTIC
TK_E1_SAMP_45,165861.132,341244.374,403.143,DOMESTIC
TK_E1_SAMP_47,165861.296,341242.385,403.076,DOMESTIC
TK_E1_SAMP_48,165861.341,341240.208,402.908,DOMESTIC
TK_E1_SAMP_49,165861.15,341238.229,402.742,DOMESTIC
TK_E1_SAMP_50,165859.841,341258.196,402.854,DOMESTIC
TK_E1_SAMP_51,165859.767,341252.945,402.869,DOMESTIC
TK_E1_SAMP_52,165859.616,341250.915,402.911,DOMESTIC
TK_E1_SAMP_53,165859.511,341248.875,402.968,DOMESTIC
TK_E1_SAMP_54,165859.423,341246.778,402.967,DOMESTIC
TK_E1_SAMP_55,165859.041,341245.001,403.013,DOMESTIC
TK_E1_SAMP_56,165859.42,341243.112,403,DOMESTIC
TK_E1_SAMP_57,165859.424,341241.045,402.86,DOMESTIC
TK_E1_SAMP_58,165859.425,341239.131,402.747,DOMESTIC
TK_E1_SAMP_59,165857.894,341258.746,402.868,DOMESTIC
TK_E1_SAMP_60,165857.86,341256.955,402.856,DOMESTIC
TK_E1_SAMP_61,165857.742,341255.028,402.841,DOMESTIC
TK_E1_SAMP_62,165857.624,341253.027,402.874,DOMESTIC
TK_E1_SAMP_63,165857.489,341251.035,402.902,DOMESTIC
TK_E1_SAMP_64,165857.553,341249.012,402.918,DOMESTIC
TK_E1_SAMP_65,165857.467,341247.018,402.89,DOMESTIC
TK_E1_SAMP_66,165857.33,341244.932,402.893,DOMESTIC
TK_E1_SAMP_67,165857.371,341242.976,402.877,DOMESTIC
TK_E1_SAMP_68,165857.333,341241.116,402.797,DOMESTIC
TK_E1_SAMP_69,165857.353,341239.17,402.762,DOMESTIC
TK_E1_SAMP_70,165856.44,341259.548,402.877,DOMESTIC
TK_E1_SAMP_71,165856.135,341257.552,402.87,DOMESTIC
TK_E1_SAMP_72,165855.978,341255.529,402.821,DOMESTIC
TK_E1_SAMP_73,165855.919,341253.449,402.826,DOMESTIC
TK_E1_SAMP_74,165855.743,341251.332,402.836,DOMESTIC
TK_E1_SAMP_75,165855.476,341249.245,402.852,DOMESTIC
TK_E1_SAMP_76,165855.393,341247.218,402.839,DOMESTIC
TK_E1_SAMP_77,165855.305,341245.09,402.809,DOMESTIC
TK_E1_SAMP_78,165855.121,341243.075,402.753,DOMESTIC
TK_E1_SAMP_79,165855.109,341241.134,402.718,DOMESTIC
TK_E1_SAMP_80,165854.99,341239.251,402.738,DOMESTIC
TK_E1_SAMP_81,165854.459,341259.227,402.889,DOMESTIC
TK_E1_SAMP_82,165854.218,341257.426,402.864,DOMESTIC
TK_E1_SAMP_83,165854.169,341255.457,402.832,DOMESTIC
TK_E1_SAMP_84,165853.967,341253.336,402.806,DOMESTIC
TK_E1_SAMP_85,165853.824,341251.274,402.837,DOMESTIC
TK_E1_SAMP_86,165853.523,341249.409,402.822,DOMESTIC
TK_E1_SAMP_87,165853.414,341247.407,402.801,DOMESTIC
TK_E1_SAMP_88,165853.27,341245.386,402.759,DOMESTIC
TK_E1_SAMP_89,165853.163,341243.533,402.717,DOMESTIC
TK_E1_SAMP_90,165852.873,341241.293,402.72,DOMESTIC
